session_pitch,session,p_throws,pitch_type,pitch_speed_mph,max_shoulder_internal_rotational_velo,max_elbow_extension_velo,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,max_elbow_flexion,max_shoulder_external_rotation,elbow_flexion_fp,elbow_pronation_fp,rotation_hip_shoulder_separation_fp,shoulder_horizontal_abduction_fp,shoulder_abduction_fp,shoulder_external_rotation_fp,lead_knee_extension_angular_velo_fp,lead_knee_extension_angular_velo_br,lead_knee_extension_angular_velo_max,torso_anterior_tilt_fp,torso_lateral_tilt_fp,torso_rotation_fp,pelvis_anterior_tilt_fp,pelvis_lateral_tilt_fp,pelvis_rotation_fp,max_cog_velo_x,torso_rotation_min,max_pelvis_rotational_velo,glove_shoulder_horizontal_abduction_fp,glove_shoulder_abduction_fp,glove_shoulder_external_rotation_fp,glove_shoulder_abduction_mer,elbow_flexion_mer,torso_anterior_tilt_mer,torso_lateral_tilt_mer,torso_rotation_mer,elbow_varus_moment,shoulder_internal_rotation_moment,torso_anterior_tilt_br,torso_lateral_tilt_br,torso_rotation_br,lead_knee_extension_from_fp_to_br,cog_velo_pkh,stride_length,stride_angle,arm_slot,timing_peak_torso_to_peak_pelvis_rot_velo,max_shoulder_horizontal_abduction,shoulder_transfer_fp_br,shoulder_generation_fp_br,shoulder_absorption_fp_br,elbow_transfer_fp_br,elbow_generation_fp_br,elbow_absorption_fp_br,lead_hip_transfer_fp_br,lead_hip_generation_fp_br,lead_hip_absorption_fp_br,lead_knee_transfer_fp_br,lead_knee_generation_fp_br,lead_knee_absorption_fp_br,rear_hip_transfer_pkh_fp,rear_hip_generation_pkh_fp,rear_hip_absorption_pkh_fp,rear_knee_transfer_pkh_fp,rear_knee_generation_pkh_fp,rear_knee_absorption_pkh_fp,pelvis_lumbar_transfer_fp_br,thorax_distal_transfer_fp_br,rear_grf_x_max,rear_grf_y_max,rear_grf_z_max,rear_grf_mag_max,rear_grf_angle_at_max,lead_grf_x_max,lead_grf_y_max,lead_grf_z_max,lead_grf_mag_max,lead_grf_angle_at_max,peak_rfd_rear,peak_rfd_lead
1562_1,1562,R,FF,91.8,4548.6288,2181.3653,1067.5775,32.138,109.109,172.3515,88.8893,16.6906,30.8269,38.4432,72.4402,74.4164,98.1757,67.0667,243.8379,2.7438,0.4005,25.724,23.9886,6.046,56.8348,3.0202,-29.8412,746.3287,43.284,52.2092,-28.4428,32.4555,90.0112,0.6597,8.9542,91.9059,118.5366,114.7807,15.9245,6.5594,115.3409,-7.0362,0.1995,0.8172,-7.3577,14.2106,-0.0055,57.4465,328.3695,53.9035,18.8885,380.4952,3.6095,68.4281,11.4499,3.5737,129.4767,25.7126,0.313,21.9105,74.7113,214.1893,16.7968,67.68,39.7975,37.548,107.343,347.258,722.5434,64.5842,1044.8944,1266.537,55.4466,1465.783,193.683,2186.1718,2634.7913,56.2201,6.885,78.0011
1574_1,1574,R,FF,89.8,4413.6989,2416.5436,1015.8496,27.5131,113.4467,184.7196,90.5301,-1.711,27.3298,63.2703,81.1057,34.6711,-40.7762,292.9116,346.568,2.4805,-11.8717,-3.3006,7.6171,-6.7186,24.3294,2.9838,-38.9874,803.1184,48.6304,70.5628,-29.0502,26.139,81.0694,10.7955,19.0773,101.4414,70.66,74.2897,31.1209,13.8828,110.0121,-3.9558,0.3086,0.8156,5.642,37.238,0.0055,63.4027,277.8616,64.7632,15.719,297.7452,7.8004,48.2368,16.5689,22.6733,104.4218,21.8088,34.4114,48.8151,29.9673,31.3489,10.6397,7.924,4.605,4.4185,36.5013,293.5807,797.9097,140.1944,1328.9692,1500.357,61.0728,866.0952,183.9793,1604.5549,1821.2086,61.7967,10.1994,85.3913
1688_1,1688,R,FF,93.1,4412.6991,2341.2402,969.0852,29.0828,115.7557,177.0473,109.6134,17.0402,27.9238,52.6757,84.3252,52.4154,191.7868,410.2209,412.2844,-5.0155,-9.3495,1.6331,2.3242,1.4442,28.4661,3.1482,-46.5726,705.1049,43.4103,70.3787,-46.8198,22.9148,92.7662,25.2885,15.265,93.0621,128.5671,122.898,44.1357,12.5969,102.5509,21.2537,0.2857,0.8241,1.3274,48.1312,0.0084,54.7507,451.6136,40.8633,14.3926,446.8592,3.3149,63.715,90.2525,65.4358,87.1254,60.8226,31.575,19.0733,101.981,190.7297,103.3066,21.5793,90.4337,42.3528,285.2134,466.0061,863.2707,84.5845,1506.8286,1703.1072,61.9909,1107.3304,193.558,1737.1856,2009.8574,59.9534,22.765,85.4367
1718_1,1718,L,FF,91.2,4252.7711,2665.0308,1122.2729,35.4,105.6419,149.219,96.979,23.7997,32.244,39.2647,92.366,50.6992,471.3482,315.8185,471.3482,-9.8709,-9.2229,12.2469,4.1945,-2.8757,44.0572,3.1293,-27.0203,906.6936,51.4056,70.1432,-37.6958,41.5903,81.2818,-4.0915,25.1935,99.9367,135.5394,137.8909,20.4682,21.523,120.1272,17.7284,0.3214,0.85,-3.8347,38.6308,0.0084,39.7792,377.9251,40.1554,48.3681,379.5712,7.9778,61.3258,58.124,22.7983,118.0377,62.8733,32.119,12.4359,96.7798,144.2726,55.3009,51.8999,64.0448,50.1322,207.4453,426.2933,733.2155,274.1235,1325.9431,1515.1869,61.1764,1368.1818,164.1014,2468.9455,2791.7039,61.6776,6.629,172.8014
1729_1,1729,R,FF,90.6,4289.8829,2420.3753,1031.5702,34.2213,122.4084,170.5134,106.4145,8.3123,33.7742,37.6508,77.3517,66.4195,232.9282,128.5794,243.2299,-18.5029,-6.3249,-5.5244,0.7286,6.3058,25.9058,3.0013,-45.401,856.1056,73.7169,66.1431,-36.861,20.0592,92.1702,19.9206,44.8676,102.2025,127.9654,121.3403,44.4057,36.5628,119.2327,13.2075,0.0893,0.8276,6.9288,51.0063,0.0222,38.5957,423.812,56.2703,13.5294,427.2192,5.1887,78.5268,62.403,22.5448,98.9119,51.5467,35.8356,15.6307,123.5393,209.8845,165.2665,64.0616,77.5092,85.0002,227.6117,437.3414,821.2234,26.7897,1303.1633,1532.1863,58.133,1298.8699,266.6459,2009.8709,2392.9488,57.1943,5.5824,119.1176
1826_1,1826,R,FF,89.3,4468.8557,2255.5707,1165.8554,33.9563,118.2906,173.4894,116.6162,5.0495,33.5662,55.3765,81.5067,48.7545,29.0017,478.8917,516.7831,-5.6439,-3.4517,-3.6064,3.3127,-5.602,30.4538,2.9649,-37.6536,768.4052,32.6254,83.7519,-53.4041,29.8307,91.0775,25.024,27.0194,113.8046,111.4603,107.8981,43.1457,14.9913,130.7623,12.47,0.2679,0.8354,-1.1692,49.1795,0.0083,60.7649,374.1553,40.7496,30.3568,374.9476,0.9839,62.222,70.5633,44.9272,70.967,57.4421,54.1008,37.3881,154.4679,113.5999,78.7269,138.6209,56.2774,50.2528,476.0903,404.5122,663.12,161.6466,1319.735,1448.7421,64.3194,926.5159,202.0145,1633.8053,1877.9657,60.5152,17.6021,104.39
2653_1,2653,R,FF,90.9,5059.2718,2768.6977,1057.9016,35.1037,129.686,169.1149,126.9465,-14.161,35.1037,39.7746,73.6239,21.3111,288.6213,412.3905,416.7292,-3.7435,4.2254,10.5583,-1.1419,8.4047,45.7475,2.7291,-38.5684,847.4026,30.5012,76.364,-56.613,28.1406,93.0423,29.4466,29.9547,116.8585,110.4856,102.927,46.0016,21.8388,131.3377,20.5696,0.4821,0.7885,-3.5993,47.0357,0.0278,43.9851,308.6862,30.474,34.5056,317.1376,2.8999,41.1754,72.2771,34.2812,30.9241,36.8638,30.7333,7.4998,50.9751,158.4645,44.1352,53.822,29.0049,36.5479,200.4631,343.1918,643.6715,152.1357,1321.3873,1467.882,64.4056,936.7488,136.3899,1645.3522,1892.0702,60.3811,10.3507,68.724
2815_1,2815,R,FF,91.1,4751.1717,2535.0737,978.3064,27.5379,121.144,175.7709,96.0298,27.8004,22.1633,49.4535,100.8047,80.6978,-18.7405,209.8146,319.4355,-22.9286,-1.8655,18.5129,9.7237,-2.2894,42.6362,3.2937,-43.6818,611.6244,36.135,78.9904,-35.5566,33.4592,100.7809,25.032,26.9872,111.7433,125.1064,119.7951,43.2951,14.2426,128.3277,12.3437,0.2679,0.9118,-1.9478,46.2889,0.0111,52.2308,458.003,43.5856,12.89,472.258,3.9262,76.9694,69.731,1.5533,129.8631,61.3885,49.1585,30.3557,33.1767,30.3707,45.5562,3.3032,8.0634,10.6871,46.3838,470.8931,821.7024,123.0338,1363.9614,1593.799,58.9267,1126.6869,86.4825,1757.7859,2041.9885,59.2206,6.8517,50.3101
2859_1,2859,R,FF,90.9,4442.1594,2305.5548,1037.0522,35.5464,125.702,173.9064,123.6276,-25.7687,35.5451,59.8349,70.7481,25.6051,-59.0135,61.3884,253.9336,-3.3724,-11.3146,0.6853,3.6284,-7.823,36.5833,3.1657,-26.3283,706.2983,13.0712,83.1732,-19.8698,36.0382,91.8005,9.5552,24.5882,109.4272,117.6354,114.2132,26.5261,16.9968,130.6237,-3.5503,0.2736,0.8778,4.4127,39.2748,0.0084,61.5931,437.8205,27.5017,21.0704,425.9574,2.3608,67.5501,43.1136,21.9245,113.8234,36.1706,17.4485,34.8272,59.4922,128.0021,41.5362,60.1381,45.4012,13.254,251.6605,457.7328,735.5942,226.7983,1044.8028,1210.5739,58.6866,1099.162,203.2637,1707.2242,2023.5863,57.7909,7.6512,73.9262
2860_1,2860,R,FF,89.0,4803.3272,2705.7588,1383.2367,33.5995,121.5495,177.171,106.1673,17.5073,29.1523,43.9552,79.8646,81.8573,435.518,575.9956,591.2372,-19.5188,9.7625,8.9796,2.5612,6.7373,40.256,2.2749,-44.5275,1080.2741,63.9921,65.6403,-56.5115,38.2425,88.9619,29.0013,34.8855,117.5707,99.0799,98.1306,48.1837,22.7853,135.1019,31.8909,0.2143,0.7177,-2.1076,43.8587,0.0027,52.4431,333.8325,30.6652,23.6512,346.0348,3.7891,62.7722,41.6124,5.2599,187.6782,54.2286,25.7694,7.6166,50.5244,155.0965,31.3546,35.735,33.4393,11.2427,100.884,357.4837,457.879,60.2703,989.6981,1088.0857,65.4636,834.0677,163.4239,2137.7418,2232.2068,73.4972,6.0737,114.6415
